"tahkikî","araştırarak ve kesin delillere dayanarak"
"feyz-i Kur'ân","Kur'ân'ın verdiği ilham, bereket ve ilim bolluğu"
"âciz","güçsüz"
"semavî","vahiyle gelmiş olan"
"âyât-ı kübra","büyük, yüce âyetler"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"kudsî","kutsal, her türlü kusur ve noksandan yüce"
"berâhin-i uzmâ","büyük deliller"
"nükte-i ekber","en büyük nükte, ince derin mânâ"
"hüccet-i âzam","en büyük delil"
"beyan","açıklama"
"Lâtif","hoş, güzel"
"inâyet-i Rabbâniye","Allah'ın inayeti, yardımı"
"Eski Said","Bediüzzaman'ın kendisi için kullandığı tabirdir. Risale-i Nur'un yazılmaya başlandığı zamana kadarki dönemi ifade eder; bk. Bediüzzaman Said Nursî"
"tefsir","Kur'ân'ın mânâ bakımından izahı, yorumu"
"mukaddime","başlangıç, giriş"
"nam","ad"
"âhir","son"
"Maksat","gaye, kastedilen şey"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"tefsir","Kur'ân'ın mânâ bakımından izahı, yorumu"
"beyan","açıklama"
"Hâlık-ı Rahîm","haşre ait deliller ve işaretler"
"delâil ve emârât-ı haşriye","haşre ait deliller ve işaretler"
"hamd","övgü ve şükür"
"tevfik","yardım, başarı"
"ihsan","iyilik, bağış, lütuf"
"ferman-ı İlâhî","Allah'ın emir ve buyruğu"
"hüccet","delil"
"tefsir","Kur'ân'ın mânâ bakımından izahı, yorumu"
"in'âm","nimetlendirme"
"Münkir","inkâr eden, inançsız"
"iman-ı haşrî","haşre iman"
"metin","sağlam"
"kal'a","kale"
"mezkûr","sözü edilen"
"âyât-ı ekber","en büyük âyetler, deliller"
"tefsir","Kur'ân'ın mânâ bakımından izahı, yorumu"
"risale","küçük çaplı kitap"
"mezkûr","sözü edilen"
"âyât","âyetler"
"âlî","yüce, yüksek"
"mukaddime","başlangıç, giriş"
"Mukaddime","başlangıç, giriş"
"Haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"akîde","inanç"
"ruhî","ruhla ilgili"
"hayatî","hayatla ilgili, hayata dair"
"netice-i câmia","çok kapsamlı netice"
"ihtisar","kısaltma, özetleme"
"beyan","açıklama"
"hayat-ı insaniye","insan hayatı"
"hayat-ı içtimaiye","toplum hayatı"
"zarurî","zorunlu, mecbur"
"izhar","gösterme, açığa çıkarma"
"iman-ı haşrî","haşre iman"
"akîde","inanç"
"hüccet","delil"
"hüccet-i külliye","kapsamlı delil"
"icmal","özetleme"
"akîde-i haşriye","haşir inancı"
"bedîhi","açık"
"Âhiret","öteki dünya, öldükten sonraki hayat"
"akîde","inanç"
"hayat-ı içtimaiye","toplum hayatı"
"şahsiye-i insaniye","insanın şahsiyeti"
"üssü'l-esas","temel esas"
"saadet","mutluluk"
"kemâlât","mükemmellikler, üstün özellikler"
"esasat","esaslar, temeller"
"mikyas","ölçek"
"Nev-i beşer","insanlık"
"teşkil","oluşturan"
"dehşetli","korkunç"
"kuvve-i mâneviye","manevi güç, moral"
"mukavemet","direnç, dayanıklılık"
"mîzac-ı ruh","ruhun durumu, yaratılışı"
"mesrurâne","sevinçli bir şekilde"
"biçare","çaresiz, zavallı"
"nazar","dikkat"
"mukavemet","direnç, dayanıklılık"
"kuvve-i mâneviye","manevi güç, moral"
"zîr ü zeber","alt üst"
"letaif","lâtifeler, duyular"
"mahvolup","yok olmak"
"divâne","akılsız, deli"
"bedbaht","talihsiz"
"Nev-i insan","insanlık, insan türü"
"cihet","yön, taraf"
"nısf","yarısı"
"hayat-ı uhreviye","âhiret hayatı"
"tahammül","katlanma, dayanma"
"alâkadar","alâkalı, ilgili"
"mukabil","karşılık"
"seriü't-teessür","çabuk üzülen"
"mizaç","huy, tabiat, yaratılış"
"mevt","ölüm"
"zevâl","geçip gitme, ölme"
"elîm","elemli, acı veren"
"dehşetli","korkunç"
"meyusiyet","ümitsizlik"
"hayat-ı bâkiye","devamlı ve kalıcı hayat"
"mukabele","karşılık vermek"
"muhterem","hürmete layık, saygıdeğer"
"sükûnet","sakinlik, rahatlık"
"istirahat-i kalbiye","kalp rahatlığı, iç huzuru"
"vaveylâ-i ruhî","ruhun feryadı"
"dağdağa-i kalbî","kalp sıkıntısı"
"zulmetli","karanlık"
"kasavetli","sıkıntılı, üzüntülü"
"hayat-ı içtimaiye","toplum hayatı"
"medar","dayanak noktası, sebep"
"şiddet-i galeyan","şiddetli coşkunluk, coşup taşma"
"hissiyat","hisler, duygular"
"ifratkâr","haddi aşan, ileri giden"
"nefis","insanı maddî zevk ve isteklere sevk eden kuvvet"
"hevâ","kabiliyet ve duyguları nefsin yasak arzu ve isteklerinin emrine verme"
"tecavüzat","tecavüzler, saldırılar"
"tahribat","yıkıp yok etmeler, bozmalar"
"hayat-ı içtimaiye","toplum hayatı"
"hüsn-ü cereyan","güzel gidişat"
"El-hükmü li'l-galib","hüküm galip ve kuvvetli olanındır"
"kaide","prensip, kural"
"hevesat","hevesler, yasak istek ve arzular"
"bîçare","çaresiz, zavallı"
"âciz","güçsüz"
"süflî","aşağılık"
"Nev-i beşer","insanlık"
"hayat-ı dünyeviye","dünya hayatı"
"cemiyetli","kapsamlı, geniş"
"zemberek","hareketi sağlayan güç merkezi"
"saadet","mutluluk"
"melce","sığınak"
"tahassungâh","sığınma yeri"
"hane","ev"
"hane","ev"
"saadet","mutluluk"
"vefadarâne","vefalı olarak"
"hürmet","saygı"
"hakiki","gerçek, doğru"
"fedakârâne","fedakârca"
"merhamet","şefkat, karşılıksız sevgi"
"hakikî","gerçek, doğru"
"hürmet","saygı"
"merhamet","şefkat, karşılıksız sevgi"
"ebedî","sonsuz"
"refakat","arkadaşlık"
"sermedî","devamlı, sürekli"
"hadsiz","sınırsız"
"pederâne","babaya yakışır şekilde"
"ferzendâne","evlada yakışır şekilde"
"münasebet","ilişki"
"akîde","inanç"
"harem","eş, zevce"
"ebedî","sonsuz"
"âlem","dünya"
"ebedî","sonsuz"
"refika-i hayat","hayat arkadaşı, eş"
"ebedî","sonsuz"
"hûri","Cennet kızı"
"muhabbet","sevgi"
"mukabele","karşılık vermek"
"sûrî","gösterişte, şeklen"
"refakat","arkadaşlık"
"ebedî","sonsuz"
"firak","ayrılık"
"müfarakat","ayrılık"
"sûrî","gösterişte, şeklen"
"muvakkat","geçici"
"rikkat-i cinsiye","insanın kendi cinsinden olana acıması"
"mecazî","gerçek olmayan"
"sun'î","uydurma, sahte"
"hürmet","saygı"
"hayvanat","hayvanlar"
"sair","diğer"
"hürmet","saygı"
"iman-ı haşrî","haşre iman"
"hayat-ı içtimaiye-i insaniye","insanlığın toplumsal hayatı"
"taallûk","ilgilendirmek"
"cihet","yön"
"mezkûr","sözü geçen"
"sair","diğer"
"tahakkuk","gerçekleşme"
"vuku","meydana gelme"
"ulvî","yüksek, yüce"
"hakikat","gerçek, doğru"
"küllî","büyük, kapsamlı"
"hâcet","ihtiyaç"
"kat'î","kesin"
"vücûd","varlık"
"taam","yiyecek"
"vücud","varlık"
"delâlet","delil olma, işaret etme"
"zâhir","açık, âşikar"
"ziyade","çok"
"tahakkuk","gerçekleşme"
"hayattar","canlı"
"mahiyet","özellik, esas"
"murdar","pis, kirli"
"lâşe","leş"
"sukut","düşmek, alçalmak"
"Beşer","insan"
"içtimaiyat","sosyal hayat"
"alâkadar","alâkalı, ilgili"
"içtimaiyyun","sosyologlar"
"siyasiyyun","siyasetçiler"
"ahlâkiyyun","ahlâk bilimciler"
"hadsiz","sayısız"
"burhan","delil"
"sair","diğer"
"erkân-ı imaniye","iman rükünleri, temel esasları"
"hülâsa","özet"
"burhan","delil"
"muhtasar","kısa, özet"
"suret","şekil"
"beyan","açıklamak"
"aleyhissalâtü vesselâm","Allah'ın salât ve selâmı onun üzerine olsun"
"risalet","peygamberlik"
"delâlet","delil olma, işaret etme"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"delâil-i nübüvvet","peygamberlik delilleri"
"hakkaniyet","doğruluk"
"burhan","delil"
"hakikat-ı haşriye","haşir gerçeği"
"tahakkuk","gerçekleşme"
"vahdâniyet","Allah'ın birliği, ortağının ve benzerinin olmayışı"
"haşir","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"temerküz","toplanma, odaklanma"
"umum","bütün"
"tasdik","doğrulamak, onaylamak"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
"hüccet","delil"
"hakikat","gerçek, doğru"
"şehadet","şahitlik, tanıklık"
"şehadet","şahitlik, tanıklık"
"bedahet","açıklık"
"hakikat","gerçek, doğru"
"şehadet","şahitlik, tanıklık"
"Kur'ân-ı Mucizü'l-Beyân","açıklamalarıyla benzerini yapmakta akılları âciz bırakan Kur'ân"
"hakkaniyet","doğruluk"
"hüccet","delil"
"hakikat","gerçek, doğru"
"hakikat-i haşriye","haşir gerçeği"
"tahakkuk","gerçekleşme"
"vuku","meydana gelme"
"şehadet","şahitlik, tanıklık"
"ekser","pekçok"
"âyât-ı haşriye","haşirden bahseden âyetler"
"Sarîhan","açıklıkla"
"âyât","âyetler"
"hakikat","gerçek, doğru"
"kat'iyet","kesinlik"
"kâinat","evren, yaratılmış herşey"
"vâcip","zorunlu"
"hakikat","gerçek, doğru"
"sair","diğer"
"hakikat","gerçek, doğru"
"beyan","açıklamak"
"ulûm-u İslâmiye","İslâm ilimleri"
"müteaddit","çeşitli, birçok"
"kevnî","yaratılışla ilgili"
"hakikat","gerçek, doğru"
"şehadet","şahitlik, tanıklık"
"zuhur","ortaya çıkmak, görünmek"
"iman-ı haşrî","haşre iman"
"hakikat","gerçek, doğru"
"kâinat","evren, yaratılmış herşey"
"adem","yokluk"
"cihet-i imkân","mümkün olma yönü"
"muhal","imkansız"
"bâtıl","sahte, yalan, geçersiz"
"izzetli","şerefli, değerli, yüce"
"vaad","söz verme"
"cihet","yön"
"kabil","mümkün, olabilir"
"hakikat","gerçek"
"fasıla","ara"
"hadsiz","sayısız"
"hak","doğru"
"hakikat","gerçek"
"Sultan-ı Zîşân","şan ve şeref sahibi sultan, Allah"
"hakikat","gerçek"
"kâfi","yeterli"
"tasrihat","açık açık anlatmalar"
"hak","doğru"
"hakikat","gerçek"
"echel","çok cahil"
"ahmak","aptal"
"ayn-ı adâlet","adâletin tâ kendisi"
"semavî suhuflar","bazı peygamberlere gelen sahifeler halindeki küçük kitaplar"
"mukaddes kitaplar","dört büyük semavî kitap Tevrat, Zebur, İncil ve Kur'ân-ı Kerim"
"istikbal","gelecek"
"umum","bütün"
"tafsilât","ayrıntılar"
"izahat","açıklamalar"
"beyan","açıklama"
"hakikat-i haşriye","haşir gerçeği"
"hakikat","gerçek"
"kat'î","kesin"
"tafsilât","ayrıntılar"
"muhtasar","kısa, özetlenmiş"
"suret","şekil"
"beyan","açıklama"
"tasdik","doğrulama, onaylama"
"münasebet","ilişki, bağlantı"
"Risale-i Münâcât","Münâcât Risalesi (Üçüncü Şuâ)"
"âhir","son"
"İmânûn bi'l-yevmi'l-âhir","âhiret gününe iman"
"sair","diğer"
"rükün","esas, şart"
"hususan","özellikle"
"rusül","resuller, peygamberler"
"kütüb","kitaplar"
"münacat","dua, yakarış"
"suret","şekil"
"hülâsalı","kısa, özetlenmiş"
"evham","vehimler, zanlar, kuşkular"
"izale","gideren"
"hüccet-i haşriye","haşrin delili"
"münacât","dua, yakarış"
"Rabb-i Rahîm","sonsuz şefkat ve merhamet sahibi ve herşeyi terbiye ve idare eden Allah"
"Resûl-i Ekrem","Allah'ın en şerefli ve değerli elçisi, Hz. Muhammed (a.s.m.)"
"tâlim","öğretme"
"Kur'ân-ı Hakîm","her âyet ve sûresinden sayısız hikmet ve faydalar bulunan Kur'ân"
"Resûl-i Ekrem","Allah'ın en şerefli ve değerli elçisi, Hz. Muhammed (a.s.m.)"
"mukaddes kitaplar","dört büyük semavî kitap Tevrat, Zebur, İncil ve Kur'ân-ı Kerim"
"nümune","örnek"
"celâllî","haşmet, heybet ve yücelik vb. ile ilgili"
"cemâllî","güzellik, merhamet, ihsan ve nimet vb. ile ilgili"
"tecelli","yansıma"
"sûret","şekil"
"ebedü'l-âbâd","sonsuzlukların sonsuzluğu, âhiret hayatı"
"fâni","geçici, ölümlü"
"rahîmâne","şefkatle, merhametle"
"cilve","görüntü, yansıma"
"müşahede","görme, gözlem"
"ihsanat","iyilikler, bağışlar, lütuflar"
"şa'şaalı","gösterişli, göz alıcı"
"dar-ı saadet","mutluluk yurdu"
"istimrar","devam etme"
"bekà","süreklilik, devamlılık"
"hayat-ı dünyeviye","dünya hayatı"
"muhabbet","sevgi"
"refakat","arkadaşlık"
"müştak","arzulu, çok istekli, aşık"
"ebed","sonsuzluk"
"refakat","arkadaşlık"
"icma","fikir birliği"
"ittifak","birleşme, birlik"
"şehadet","şahitlik, tanıklık"
"delâlet","delil olma, işaret etme"
"mu'cizat-ı bâhire","ap açık mu'cizeler"
"âyât-ı kàtıa","kesin deliller"
"istinaden","dayanarak"
"Resûl-i Ekrem","Allah'ın en şerefli ve değerli elçisi, Hz. Muhammed (a.s.m.)"
"Kur'ân-ı Hakîm","içinde sayısız hikmet ve faydalar bulunan Kur'ân"
"nuranî","nurlu, parlak"
"münevver","nurlu, aydınlanmış"
"kutup","önder, rehber"
"veli","Allah dostu"
"mâden","kaynak"
"sıddıkîn","daima doğruluk üzere ve Allah'a ve peygambere sadakatte en ileride olanlar"
"suhuf-u Semâviye","bazı peygamberlere gelen sahifeler halindeki küçük kitaplar"
"vaad","söz verme"
"istinaden","dayanarak"
"kudret","güç, kuvvet, iktidar"
"rahmet","şefkat, merhamet"
"inâyet","yardım, lütuf; bütün yararların, hikmetlerin ve faydaların kaynağı olan düzenlilik"
"hikmet","herşeyin belirli gayelere yönelik olarak, mânâlı, faydalı ve tam yerli yerinde olması"
"celâl","haşmet, görkem, heybet"
"cemâl","güzellik"
"âhiret","öteki dünya, öldükten sonraki hayat"
"iktiza","gerektirme"
"kudsî","her türlü kusur ve noksandan yüce"
"şe'n","özellik, durum, hal"
"izzet-i celâl","haşmet ve görkemin izzeti"
"saltanat-ı rubûbiyet","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"itimaden","güvenerek"
"âhiret","öteki dünya, öldükten sonraki hayat"
"tereşşuhat","sızıntılar, izler"
"hadsiz","sayısız"
"keşfiyat","mânevî âlemlerde bazı olayları ve hakikatleri görme"
"müşahede","gözlemler"
"ilmelyakîn","kesin bilgiye dayanarak, kuşkuya yer bırakmayacak biçimde öğrenme"
"aynelyakîn","gözle görerek kesin bilgi edinme"
"itikad","inanç"
"binaen","–dayanarak"
"saadet-i ebediye","sonu olmayan, sonsuz mutluluk"
"Ehl-i dalâlet","doğru ve hak yoldan sapmış, inançsız kimseler"
"ehl-i hidâyet","doğru yolda olanlar, iman nimetine ermiş olanlar"
"şehadet","şahitlik, tanıklık"
"Kadîr-i Hakîm","herşeyi hikmetle yapan ve herşeye gücü yeten, sonsuz güç ve kuvvet sahibi Allah"
"Rahmân-ı Rahîm","dünya ve âhirette, yarattıklarına sonsuz rahmet, şefkat ve merhametiyle davranan Allah"
"Sâdıku'l-Vâ'dil Kerîm","kullarına vaad ettiği şeylere sadık ve onlara karşı cömert olan Allah"
"izzet","şeref, yücelik, üstünlük"
"azamet","büyüklük, yücelik"
"celâl","haşmet, görkem, heybet"
"Kahhâr-ı Zülcelâl","sınırsız haşmet sahibi ve herşeye her zaman mutlak galip gelen ve kahretmeye gücü yeten Allah"
"sâdık","doğru sözlü"
"vaad","söz verme"
"sıfât","vasıflar, nitelikler, özellikler"
"şuûnât","Cenâb-ı Hakkın yüce sıfatlarının mahiyetlerinde bulunan ve onları tecelliye sevk eden Zâtına ait mukaddes özellikler"
"tekzib","yalanlama"
"saltanat-ı rubûbiyet","Allah'ın herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri vermesi, onları terbiye edip idaresi ve egemenliği altında bulundurması"
"kat'î","kesin"
"muktaziyat","gerektirici sebepler"
"tekzib","yalanlama"
"tasdik","doğrulama, onaylama"
"itaat","emre uyma"
"hadsiz","sayısız, sınırsız"
"makbul","kabul gören"
"ibâd","kullar"
"âhiret","öteki dünya, öldükten sonraki hayat"
"hadsiz","sayısız, sınırsız"
"dua","yalvarma, yakarma"
"küfür","inkâr, inançsızlık"
"vaad","söz verme"
"tekzib","yalanlama"
"azamet","büyüklük"
"kibriyâ","azamet, büyüklük"
"izzet-i celâl","haşmet ve yüceliğin izzeti"
"ulûhiyet","ilâhlık"
"haysiyet","itibar, şeref, değer"
"şefkat-i rubûbiyet","herşeyi terbiye edip idaresi ve egemenliği altında bulunduran Allah'ın şefkati"
"müteessir","üzüntüye sevketme"
"ehl-i dalâlet","doğru ve hak yoldan sapmış, inançsız kimseler"
"ehl-i küfr","inkârcılar, inanmayanlar"
"haşr","öldükten sonra âhirette tekrar diriltilip Allah'ın huzurunda toplanma"
"inkâr","inanmama"
"tasdik","doğrulama, onaylama"
"mukaddes","her türlü kusur ve eksiklikten yüce"
"hadsiz","sayısız, sınırsız"
"münezzeh","her türlü çirkinlik ve noksanlıktan arınmış"
"âli","yüce"
"cemâl","güzellik"
"hadsiz","sayısız, sınırsız"
"rahmet","şefkat, merhamet"
"hadsiz","sayısız, sınırsız"
"takdis","kutsamak, her türlü eksiklik ve çirkinlikten pâk ve yüce olduğunu dile getirmek"
"sâdık","doğru sözlü"
"hadsiz","sayısız, sınırsız"
"dellâl-ı saltanat","saltanatın ilancısı"
"enbiya","peygamberler"
"asfiya","Hz. Peygamberin çizgisinde yaşayan ilim ve takvâ sahibi büyük zatlar"
"evliya","veliler, Allah dostları"
"hakkalyakîn","bizzat yaşayarak kesin bilgi edinme"
"aynelyakîn","gözle görerek kesin bilgi edinme"
"ilmelyakîn","kesin bilgiye dayanarak, kuşkuya yer bırakmayacak biçimde öğrenme"
"sûret","şekil, biçim"
"uhrevî","âhirete ait"
"rahmet","şefkat, merhamet"
"âlem-i bekà","devamlı ve kalıcı olan âlem, âhiret"
"ihsanat","iyilikler, bağışlar"
"dar-ı saadet","mutluluk yurdu"
"zuhur","ortaya çıkma, görünme"
"cilve","yansıma, görüntü"
"şehadet","şahitlik, tanıklık"
"hak","doğru"
"hakikat","gerçek"
"mutabık","uygun"
"beşaret","müjdeleme"
"sâdık","doğru sözlü"
"vâki","olmuş, meydana gelmiş"
"hakikat","gerçek"
"merci","kaynak"
"hâmî","koruyucu"
"Hak","varlığı doğru ve gerçek olan, herşeyi hakkıyla yaratan ve her hakkın sahibi olan Allah"
"şuâ","ışık, parıltı"
"hakikat-ı ekber-i haşriye","haşrin en büyük gerçeği"
"ibâd","kullar"
"hak","varlığı doğru ve gerçek olan, herşeyi hakkıyla yaratan ve her hakkın sahibi olan Allah"
"ayn-ı hakikat","gerçeğin ta kendisi"
"tâlim","öğretme"
"Yâ Rab","ey herbir varlığa yaratılış gayelerine ulaşmaları için muhtaç olduğu şeyleri veren, onları terbiye eden ve idaresi ve egemenliği altında bulunduran Allah"
"talim","öğretme"
"iman-ı ekmel","en mükemmel iman"
"hüsn-ü hâtime","güzel son, imanlı bir şekilde ölme"
"şefaat","günahlarımızın bağışlanması için af vesilesi olma"
"mazhar","erişmiş, sahip olmuş"
"Âmin","Allahım kabul eyle"
"semâvî","vahiyle gelen"
"hakkaniyet","doğruluk"
"umum","bütün"
"hüccet","delil, kanıt"
"Habibullah","Allah'ın sevgili kulu Hz. Muhammed"
"enbiya","peygamberler"
"nübüvvet","peygamberlik"
"umum","bütün"
"mucize","bir benzerini yapma konusunda başkalarını âciz bırakan olağanüstü şey"
